canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,IC50,nM,147.0,IC50,nM,147.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccncc1)CCCC3,CHEMBL491360,IC50,nM,223.0,IC50,nM,223.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cccnc1)CCCC3,CHEMBL491359,IC50,nM,158.0,IC50,nM,158.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)c(OC)c1)CCCC3,CHEMBL491358,IC50,nM,45.0,IC50,nM,45.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3,CHEMBL374184,IC50,nM,105.0,IC50,nM,105.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cccc(OC)c1)CCCC3,CHEMBL218940,IC50,nM,58.0,IC50,nM,58.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccccc1OC)CCCC3,CHEMBL436302,IC50,nM,234.0,IC50,nM,234.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(-c2ccccc2)cc1)CCCC3,CHEMBL490338,IC50,nM,71.0,IC50,nM,71.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(C)cc1)CCCC3,CHEMBL219406,IC50,nM,169.0,IC50,nM,169.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc([N+](=O)[O-])cc1)CCCC3,CHEMBL219405,IC50,nM,309.0,IC50,nM,309.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cccc([N+](=O)[O-])c1)CCCC3,CHEMBL220294,IC50,nM,191.0,IC50,nM,191.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccccc1[N+](=O)[O-])CCCC3,CHEMBL219400,IC50,nM,338.0,IC50,nM,338.0
